FID,Location,Lat,Lon
84,SBE.d,38.331099999999999,-121.584950000000006
85,SBE.u,38.331816670000002,-121.584366700000004
86,SBF.1,38.781716670000002,-121.611466699999994
87,SBF.2,38.781534469999997,-121.610332200000002
88,SBGD.2,38.238549999999996,-121.526966700000003
89,SBGU.2,38.238799999999998,-121.525899999999993
90,St51,38.765666670000002,-121.664766700000001
91,St52,38.765366669999999,-121.664816700000003
92,St53,38.765633330000000,-121.664383299999997
93,St54,38.765316669999997,-121.664416700000004
94,St55,38.765583329999998,-121.664000000000001
95,St56,38.765300000000003,-121.664016700000005
96,St61,38.764766670000000,-121.653733299999999
97,St62,38.764566670000001,-121.653750000000002
98,St63,38.764383330000001,-121.653750000000002
99,St64,38.764733329999999,-121.653283299999998
100,St65,38.764566670000001,-121.653333300000000
101,St66,38.764333329999999,-121.653300000000002
102,STMD.1,38.191099999999999,-121.639616700000005
103,STMD.2,38.190816669999997,-121.639266699999993
104,STMD.3,38.190700000000000,-121.640550000000005
105,STMD.4,38.190383330000003,-121.640199999999993
106,STMU.1,38.299833329999998,-121.580550000000002
107,STMU.2,38.298933329999997,-121.581050000000005
108,Tisdale Weir,39.025019000000000,-121.822511000000006
109,Verona,38.782100000000000,-121.614999999999995
110,Yolo Bypass @ Fremont Weir,38.762324000000000,-121.651904000000002
111,Yolo Bypass @ I5,38.677745999999999,-121.644408999999996
